study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.2,0.603168904758416,-0.14802578264073854,-0.7970654547078613,0.0011142189000966027,0.01264911064067352
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.103,0.449688,3.2789791559991683,3.2200811464607693,0.35441699939884713,0.009612023720320296
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.106,0.38951800000000003,1.1014322449624452,0.9383897059602049,0.38380963709705973,0.009734680272099337
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.098,0.41863799999999995,1.1708246301740217,0.8193710232677116,0.38255405809835064,0.009401914698613257
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.093,0.437178,1.2239426723227012,0.7203140304941653,0.3815246123005636,0.009184280047995052
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.099,0.41978,1.1788350907974243,0.8237844105327148,0.38152379949891474,0.009444522221901964
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_180_60_rho0p5,200,180,60,3.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.075,0.42959515257384717,3.986825794591934,-268.0294347557506,0.003618692100746557,0.008329165624478841
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.185,0.6118690187634255,-0.1671379439709408,-0.8390323500647682,0.0030461681010201572,0.012279047194306243
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.218,0.366732,3.488102727007268,3.3669477145741835,0.4140174925001338,0.0130566458173606
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.14,0.376406,1.1437846723784677,0.9513854173767431,0.4390946382972179,0.010972693379476163
