p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,180,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,300,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.089,0.00900438781928011
200,300,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.187,0.012330085157856777
200,300,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.102,0.009570579919733181
200,300,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.091,0.009094998625618368
200,300,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.074,0.00827792244467173
200,300,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,300,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,90,60,chisq1,toeplitz,0.5,Li-Chen,1000,0.076,0.008379976133617566
200,90,60,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.016,0.003967870965643918
200,90,60,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.065,0.007795832219846705
200,90,60,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.065,0.007795832219846705
200,90,60,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,90,60,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,90,60,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
100,120,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.1,0.009486832980505138
100,120,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.141,0.011005407761641547
100,120,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.065,0.007795832219846705
100,120,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.07,0.008068457101577725
100,120,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
100,120,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.069,0.008014923580421713
100,120,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.058,0.007391616873188166
100,180,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.11,0.009894442884771228
100,180,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.219,0.013078187947877183
100,180,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.095,0.00927227048785787
100,180,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.104,0.009653186002558949
100,180,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.092,0.00913980306133562
100,180,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.094,0.009228434320078352
100,180,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.073,0.008226238508577295
100,300,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.098,0.009401914698613257
100,300,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.333,0.014903388876359632
100,300,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.1,0.009486832980505138
100,300,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.099,0.009444522221901964
100,300,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.091,0.009094998625618368
100,300,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.096,0.009315793041926168
100,300,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.062,0.007626008130076967
100,90,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.101,0.009528850927577786
100,90,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.099,0.009444522221901964
100,90,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.056,0.007270763371201128
100,90,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.057,0.007331507348424334
100,90,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.059,0.007451107300260815
100,90,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.061,0.0075682891065286355
100,90,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.056,0.007270763371201128
200,120,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.098,0.009401914698613257
200,120,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.136,0.010839926199010766
200,120,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.058,0.007391616873188166
200,120,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.057,0.007331507348424334
200,120,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.051,0.00695693898205238
200,120,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.056,0.007270763371201128
200,120,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.048,0.006759881655768835
200,180,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.1,0.009486832980505138
200,180,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.269,0.014022802858202064
200,180,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.093,0.009184280047995052
200,180,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.095,0.00927227048785787
200,180,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.084,0.008771772910877254
200,180,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.092,0.00913980306133562
200,180,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.058,0.007391616873188166
200,300,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.111,0.00993373041711924
200,300,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.383,0.015372410351015223
200,300,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.095,0.00927227048785787
200,300,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.097,0.00935900635751467
200,300,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.091,0.009094998625618368
200,300,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.098,0.009401914698613257
200,300,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.071,0.008121514637061242
200,90,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.118,0.01020176455325254
200,90,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.108,0.009815090422405696
200,90,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.065,0.007795832219846705
200,90,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.065,0.007795832219846705
200,90,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.068,0.007960904471226871
200,90,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.066,0.007851369307324678
200,90,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.057,0.007331507348424334
100,120,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.045,0.0065555320150236475
100,120,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.089,0.00900438781928011
100,120,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.057,0.007331507348424334
100,120,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.055,0.00720936890441875
100,120,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.052,0.007021111023192838
