p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,120,150,chisq1,toeplitz,0.5,Li-Chen,1000,0.054,0.007147307185227175
200,120,150,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.012,0.003443254274665175
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.066,0.007851369307324678
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.068,0.007960904471226871
200,120,150,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
200,120,150,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,120,150,chisq1,toeplitz,0.9,Li-Chen,1000,0.079,0.008529888627643388
200,120,150,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.042,0.0063431853196954605
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,120,150,chisq1,toeplitz,0.9,Ours-I,1000,0.02,0.004427188724235731
200,120,150,chisq1,toeplitz,0.9,Wang-NR,1000,0.027,0.00512552436341883
200,80,100,chisq1,toeplitz,0.1,Li-Chen,1000,0.077,0.00843036179532053
200,80,100,chisq1,toeplitz,0.1,Max-bootstrap,1000,0.003,0.001729450779872038
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.3),1000,0.044,0.006485676526007136
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.5),1000,0.048,0.006759881655768835
200,80,100,chisq1,toeplitz,0.1,Ours-C(0.7),1000,0.048,0.006759881655768835
200,80,100,chisq1,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.1,Wang-NR,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.5,Li-Chen,1000,0.073,0.008226238508577295
200,80,100,chisq1,toeplitz,0.5,Max-bootstrap,1000,0.01,0.003146426544510455
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.5),1000,0.063,0.007683163410991596
200,80,100,chisq1,toeplitz,0.5,Ours-C(0.7),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,80,100,chisq1,toeplitz,0.9,Li-Chen,1000,0.061,0.0075682891065286355
200,80,100,chisq1,toeplitz,0.9,Max-bootstrap,1000,0.047,0.006692607862410586
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.3),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.5),1000,0.057,0.007331507348424334
200,80,100,chisq1,toeplitz,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
200,80,100,chisq1,toeplitz,0.9,Ours-I,1000,0.011,0.003298332912245215
200,80,100,chisq1,toeplitz,0.9,Wang-NR,1000,0.013,0.003582038525755969
100,120,150,gaussian,equicorrelation,0.1,Li-Chen,1000,0.076,0.008379976133617566
100,120,150,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.054,0.007147307185227175
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.058,0.007391616873188166
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.062,0.007626008130076967
100,120,150,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.057,0.007331507348424334
100,120,150,gaussian,equicorrelation,0.1,Ours-I,1000,0.011,0.003298332912245215
100,120,150,gaussian,equicorrelation,0.1,Wang-NR,1000,0.03,0.005394441583704471
100,120,150,gaussian,equicorrelation,0.5,Li-Chen,1000,0.108,0.009815090422405696
100,120,150,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.063,0.007683163410991596
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.06,0.007509993342207435
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.066,0.007851369307324678
100,120,150,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.07,0.008068457101577725
100,120,150,gaussian,equicorrelation,0.5,Ours-I,1000,0.073,0.008226238508577295
100,120,150,gaussian,equicorrelation,0.5,Wang-NR,1000,0.061,0.0075682891065286355
100,120,150,gaussian,equicorrelation,0.9,Li-Chen,1000,0.11,0.009894442884771228
100,120,150,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.05,0.006892024376045111
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.051,0.00695693898205238
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.054,0.007147307185227175
100,120,150,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.053,0.00708456067798138
100,120,150,gaussian,equicorrelation,0.9,Ours-I,1000,0.049,0.006826346021115542
