study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE,block_size,high_variance,rho_block
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,0.986,0.008596,1.2608576750729454,1.2564922363901934,0.4037042679991573,0.0052543315464481325,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.410812,240.53762918067602,240.57103509746116,0.37654882320412436,0.0,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p15,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.15,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.02,0.3637832973536204,1517.9135668939502,1477.9889381968278,0.004349431200185791,0.006260990336999411,80,25.0,0.15
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.046,0.46354680451683217,0.10957920706085994,0.14247957087641222,0.0013554025974590331,0.00936845771725528,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,0.874,0.02246,5.057484916345299,5.015997208403191,0.37866718480037526,0.01484075469779081,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.938,0.01284,2.682199518315293,2.5547482798267844,0.40530839380249384,0.010784804124322337,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.932,0.013176,5.060568640207277,4.75796624601021,0.4045301783990581,0.01125841907196565,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.926,0.014016,7.693984933759463,7.2131285876324895,0.4052971928003244,0.011706750189527404,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.000292,1.4379818187984872,1.4326648452743167,0.40418224160093813,0.0,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.41598399999999996,240.12272677478856,240.2669420231548,0.37401426799991166,0.0,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p2,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.2,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.006,0.37533819997227125,1346.3760426303625,1396.7372755562246,0.004268202798208222,0.0034536936748935914,80,25.0,0.2
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.066,0.46773685683365723,0.12114437095455387,0.10647065410505244,0.0012238180020358413,0.011103512957618413,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,0.99,0.004488000000000001,5.410579512292093,5.351776541992706,0.3704115898024756,0.0044497190922574,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.952,0.009108,2.7890384035023077,2.7277258363918477,0.39622720100008885,0.009559916317625384,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.958,0.009096,5.322469253285709,5.157796419292486,0.3946873439967167,0.00897061870775924,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.946,0.009880000000000002,8.126355055664257,7.7730052541930705,0.39474800720065834,0.010107818755794947,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,4e-06,1.6670562910811477,1.6531908385929968,0.39320131099759603,0.0,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.416024,240.44990213020824,240.39667623469387,0.36663271640031597,0.0,80,25.0,0.25
