p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,60,60,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.069,0.008014923580421713
100,60,60,gaussian,equicorrelation,0.9,Ours-I,1000,0.06,0.007509993342207435
100,60,60,gaussian,equicorrelation,0.9,Wang-NR,1000,0.063,0.007683163410991596
200,60,60,gaussian,equicorrelation,0.1,Li-Chen,1000,0.088,0.008958571314668427
200,60,60,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.077,0.00843036179532053
200,60,60,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.05,0.006892024376045111
200,60,60,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.051,0.00695693898205238
200,60,60,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.056,0.007270763371201128
200,60,60,gaussian,equicorrelation,0.1,Ours-I,1000,0.001,0.0009994998749374609
200,60,60,gaussian,equicorrelation,0.1,Wang-NR,1000,0.025,0.0049371044145328745
200,60,60,gaussian,equicorrelation,0.5,Li-Chen,1000,0.109,0.00985489725973843
200,60,60,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.091,0.009094998625618368
200,60,60,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.062,0.007626008130076967
200,60,60,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.068,0.007960904471226871
200,60,60,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
200,60,60,gaussian,equicorrelation,0.5,Ours-I,1000,0.063,0.007683163410991596
200,60,60,gaussian,equicorrelation,0.5,Wang-NR,1000,0.06,0.007509993342207435
200,60,60,gaussian,equicorrelation,0.9,Li-Chen,1000,0.085,0.008819013550278738
200,60,60,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.043,0.006414904519944158
200,60,60,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.042,0.0063431853196954605
200,60,60,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.044,0.006485676526007136
200,60,60,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.041,0.006270486424512854
200,60,60,gaussian,equicorrelation,0.9,Ours-I,1000,0.043,0.006414904519944158
