study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.013,0.418618,1.0188537217898577,1.0073544820580203,0.4003624964985065,0.003582038525755969
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p1,200,120,150,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.01,0.4315914517516614,3.9504557909421423,-0.85540316638847,0.004328045199508778,0.003146426544510455
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.185,0.6410333967755898,-0.10860892852149795,-1.048891849298319,0.0013119307992747054,0.012279047194306243
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.031,0.583876,3.0371894763633414,2.9767122617473234,0.37620454840001183,0.0054807846153630225
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.054,0.454488,1.0255264807667148,0.864288060598096,0.4032710174007807,0.007147307185227175
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.052,0.47251,1.024965900969939,0.7040652219228403,0.40285077540029307,0.007021111023192838
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.049,0.48131799999999997,1.0221544820441086,0.5917452901251956,0.4028457309022779,0.006826346021115542
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.046,0.473906,1.0253509338247904,0.7233925782433202,0.4027399991013808,0.006624499981130651
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p5,200,120,150,0.8,equicorrelation,0.5,0.5,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.047,0.47151461339610323,25.521338267771476,-250.51463428772252,0.00442256920132786,0.006692607862410586
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.255,0.6633432392486212,-0.656625998013708,-2.242270942248555,0.0011013022992992774,0.013783141876945184
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.036,0.525842,1.479214753162083,1.3558342386785025,0.3454369042009348,0.005891010100144117
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.043,0.46006600000000003,1.0064923765758342,0.773379696814001,0.3693393798955949,0.006414904519944158
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.047,0.475978,0.9989062092178639,0.6087098724561311,0.3694230875002686,0.006692607862410586
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.05,0.483388,0.9948179464562972,0.521816195586849,0.36765445839974564,0.006892024376045111
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Ours-I,0.05,500,1000,0.044,0.488634,0.9904806522086084,0.46819241941377554,0.36655997700174336,0.006485676526007136
study_size_target,size_target_chisq1_equicorrelation_200_120_150_rho0p9,200,120,150,0.8,equicorrelation,0.9,0.9,target_rho_grid_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.042,0.48277506883945137,-299.25011968421455,-1592.0527056801052,0.0032123371014604347,0.0063431853196954605
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.101,0.5479397125848013,-0.053703975926947915,-0.24670112650225684,0.0008699319998268038,0.009528850927577786
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.005,0.67289,3.827196919753459,3.794874197267493,0.33225262380123605,0.0022304708023195463
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.05,0.42944600000000005,1.0373818052064985,0.9271014003208222,0.3531056367023848,0.006892024376045111
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.053,0.45897000000000004,1.0422653993674353,0.7959645514222872,0.3530454811012605,0.00708456067798138
study_size_target,size_target_chisq1_equicorrelation_200_80_100_rho0p1,200,80,100,0.8,equicorrelation,0.1,0.1,target_rho_grid_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.048,0.473808,1.0446669104950745,0.6683691768933898,0.35502665259945204,0.006759881655768835
